,Class,Publication,h5.index,h5.median
85,Biochemistry,Nature Structural & Molecular Biology,93,137
86,Biochemistry,Nature Chemical Biology,89,121
87,Biochemistry,Antioxidants & Redox Signaling,81,116
88,Biochemistry,Annual Review of Biochemistry,75,152
89,Biochemistry,Biochemical Journal,74,113
90,Biochemistry,Biochemical and Biophysical Research Communications,73,97
91,Biochemistry,Trends in Biochemical Sciences,73,95
92,Biochemistry,Free Radical Biology and Medicine,72,113
93,Biochemistry,Molecular and Cellular Biology,72,96
94,Biochemistry,Journal of Lipid Research,71,102
95,Biochemistry,FEBS Journal,71,93
96,Biochemistry,FEBS Letters,70,90
97,Biochemistry,Biochimica et Biophysica Acta (BBA)-Molecular Cell Research,66,105
98,Biochemistry,Current Opinion in Chemical Biology,65,86
99,Biochemistry,Molecular Biology of the Cell,64,79
100,Biochemistry,The International Journal of Biochemistry & Cell Biology,63,86
101,Biodiversity & Conservation Biology,Biological Conservation,60,89
102,Biodiversity & Conservation Biology,Conservation Biology,58,73
103,Biodiversity & Conservation Biology,Ecological Applications,56,74
104,Biodiversity & Conservation Biology,Journal of Applied Ecology,56,70
105,Biodiversity & Conservation Biology,Journal of Biogeography,49,69
106,Biodiversity & Conservation Biology,Ecological Indicators,48,59
107,Biodiversity & Conservation Biology,Global Ecology and Biogeography,47,69
108,Biodiversity & Conservation Biology,Diversity and Distributions,45,66
109,Biodiversity & Conservation Biology,Ecography,43,64
110,Biodiversity & Conservation Biology,Biological Invasions,41,54
111,Biodiversity & Conservation Biology,Landscape Ecology,38,53
112,Biodiversity & Conservation Biology,Biodiversity and Conservation,37,49
113,Biodiversity & Conservation Biology,Conservation Letters,36,61
114,Biodiversity & Conservation Biology,Journal of Vegetation Science,32,43
115,Biodiversity & Conservation Biology,The Journal of Wildlife Management,32,41
116,Biodiversity & Conservation Biology,Restoration Ecology,31,38
117,Biodiversity & Conservation Biology,Basic and Applied Ecology,30,36
118,Biodiversity & Conservation Biology,Biotropica,28,39
119,Biodiversity & Conservation Biology,Plant Ecology,28,37
120,Biodiversity & Conservation Biology,Animal Conservation,28,35
121,Bioinformatics,Bioinformatics,104,205
122,Bioinformatics,PLOS Computational Biology,80,111
123,Bioinformatics,BMC Bioinformatics,73,105
124,Bioinformatics,Journal of Theoretical Biology,48,64
125,Bioinformatics,Briefings in Bioinformatics,46,72
126,Bioinformatics,BMC Systems Biology,41,55
127,Bioinformatics,arXiv Populations and Evolution (q-bio.PE),40,56
128,Bioinformatics,Journal of Mathematical Biology,34,50
129,Bioinformatics,Journal of Computational Biology,32,49
130,Bioinformatics,arXiv Quantitative Methods (q-bio.QM),32,49
131,Bioinformatics,IEEE/ACM Transactions on Computational Biology and Bioinformatics,30,39
132,Bioinformatics,arXiv Genomics (q-bio.GN),29,44
133,Bioinformatics,arXiv Molecular Networks (q-bio.MN),29,41
134,Bioinformatics,Database,27,41
135,Bioinformatics,Mathematical Biosciences,26,39
136,Bioinformatics,Pacific Symposium on Biocomputing,23,30
137,Bioinformatics,International Conference on Research in Computational Molecular Biology,22,32
138,Bioinformatics,Statistical Applications in Genetics and Molecular Biology,19,32
139,Bioinformatics,Journal of Biomedical Semantics,19,28
140,Bioinformatics,Journal of Bioinformatics and Computational Biology,19,24
141,Biophysics,Biophysical Journal,65,76
142,Biophysics,Biochimica et Biophysica Acta (BBA)-Bioenergetics,60,80
143,Biophysics,Current Opinion in Structural Biology,58,80
144,Biophysics,Biochimica et Biophysica Acta (BBA)-Biomembranes,57,81
145,Biophysics,Journal of Biomechanics,52,66
146,Biophysics,Annual Review of Biophysics,45,72
147,Biophysics,arXiv Biological Physics (physics.bio-ph),40,50
148,Biophysics,Journal of Biomolecular Structure and Dynamics,36,50
149,Biophysics,Photochemical & Photobiological Sciences,36,47
150,Biophysics,Photosynthesis Research,36,45
151,Biophysics,Journal of Photochemistry and Photobiology B: Biology,33,49
152,Biophysics,Journal of Biophotonics,33,48
153,Biophysics,Photochemistry and Photobiology,32,42
154,Biophysics,Progress in Biophysics and Molecular Biology,29,46
155,Biophysics,European Biophysics Journal with Biophysics Letters,29,40
156,Biophysics,Physical Biology,28,36
157,Biophysics,arXiv Biomolecules (q-bio.BM),27,44
158,Biophysics,Chemistry and Physics of Lipids,27,43
159,Biophysics,Biophysical Chemistry,25,31
160,Biophysics,Journal of Fluorescence,25,30
161,Biotechnology,Nature Biotechnology,129,197
162,Biotechnology,Bioresource Technology,106,148
163,Biotechnology,Biotechnology Advances,74,114
164,Biotechnology,Applied Microbiology and Biotechnology,70,97
165,Biotechnology,Trends in Biotechnology,66,100
166,Biotechnology,Biomass and Bioenergy,64,88
167,Biotechnology,Current Opinion in Biotechnology,63,87
168,Biotechnology,Biotechnology and Bioengineering,59,74
169,Biotechnology,Journal of Biotechnology,44,60
170,Biotechnology,Metabolic Engineering,44,58
171,Biotechnology,Process Biochemistry,44,53
172,Biotechnology,Biochemical Engineering Journal,40,58
173,Biotechnology,Applied Biochemistry and Biotechnology,40,57
174,Biotechnology,"Biofuels, Bioproducts and Biorefining",39,61
175,Biotechnology,Biotechnology for Biofuels,39,59
176,Biotechnology,Microbial Cell Factories,39,55
177,Biotechnology,Journal of Molecular Catalysis B: Enzymatic,38,49
178,Biotechnology,Journal of Industrial Microbiology & Biotechnology,37,51
179,Biotechnology,Biotechnology Progress,36,52
180,Biotechnology,Global Change Biology Bioenergy,36,50
181,Birds,Ibis,25,36
182,Birds,The Auk,24,32
183,Birds,Journal of Avian Biology,24,31
184,Birds,Journal of Ornithology,22,26
185,Birds,The Condor,17,20
186,Birds,Emu,16,21
187,Birds,Bird Study,15,17
188,Birds,Journal of Field Ornithology,15,17
189,Birds,Bird Conservation International,14,19
190,Birds,Waterbirds,14,16
191,Birds,The Wilson Journal of Ornithology,13,15
192,Birds,Ardea,11,16
193,Birds,Journal of Raptor Research,11,12
194,Birds,Acta Ornithologica,10,12
195,Birds,Journal of Avian Medicine and Surgery,9,11
196,Birds,Ornis Fennica,9,11
197,Birds,British Birds,8,11
198,Birds,Ardeola,8,10
199,Birds,Avian Biology Research,8,10
200,Birds,Ostrich,7,11
201,Botany,The Plant Cell Online,93,119
202,Botany,Plant Physiology,90,114
203,Botany,Trends in Plant Sciences,81,117
204,Botany,The Plant Journal,78,95
205,Botany,Journal of Experimental Botany,77,103
206,Botany,New Phytologist,77,103
207,Botany,Current Opinion in Plant Biology,69,102
208,Botany,Annual Reviews of Plant Biology,62,132
209,Botany,"Plant, Cell & Environment",57,76
210,Botany,Annals of Botany,55,91
211,Botany,Plant and Cell Physiology,50,70
212,Botany,BMC Plant Biology,48,68
213,Botany,Molecular Plant,47,65
214,Botany,Plant Science,46,63
215,Botany,Molecular Plant-Microbe Interactions,46,60
216,Botany,Planta,46,59
217,Botany,Plant Molecular Biology,46,56
218,Botany,American Journal of Botany,43,64
219,Botany,Journal of Plant Physiology,42,59
220,Botany,Environmental and Experimental Botany,42,51
221,Cell Biology,Cell,223,343
222,Cell Biology,Nature Reviews Molecular Cell Biology,131,267
223,Cell Biology,Molecular Cell,121,172
224,Cell Biology,Nature Cell Biology,115,173
225,Cell Biology,Genes & Development,114,162
226,Cell Biology,The Journal of Cell Biology,108,151
227,Cell Biology,The EMBO Journal,99,125
228,Cell Biology,Current Biology,96,114
229,Cell Biology,Nature Structural & Molecular Biology,93,137
230,Cell Biology,Oncogene,92,120
231,Cell Biology,Developmental Cell,89,131
232,Cell Biology,Journal of Cell Science,82,112
233,Cell Biology,Cold Spring Harbor Perspectives in Biology,81,120
234,Cell Biology,Development,80,109
235,Cell Biology,Current Opinion in Cell Biology,77,118
236,Cell Biology,Cell Death & Differentiation,76,110
237,Cell Biology,Cell Cycle,75,95
238,Cell Biology,Science Signaling,73,95
239,Cell Biology,Trends in Cell Biology,72,100
240,Cell Biology,Molecular and Cellular Biology,72,96
241,Developmental Biology & Embryology,Cell Stem Cell,121,192
242,Developmental Biology & Embryology,Stem Cells,89,133
243,Developmental Biology & Embryology,Developmental Cell,89,131
244,Developmental Biology & Embryology,Development,80,109
245,Developmental Biology & Embryology,Seminars in Cell & Developmental Biology,59,72
246,Developmental Biology & Embryology,Developmental Biology,58,70
247,Developmental Biology & Embryology,Annual Review of Cell and Developmental Biology,57,112
248,Developmental Biology & Embryology,Stem Cells and Development,55,75
249,Developmental Biology & Embryology,The International Journal of Developmental Biology,41,58
250,Developmental Biology & Embryology,Molecular and Cellular Neuroscience,41,54
251,Developmental Biology & Embryology,Stem Cell Reviews and Reports,39,56
252,Developmental Biology & Embryology,Developmental Dynamics,37,55
253,Developmental Biology & Embryology,Current Topics in Developmental Biology,33,55
254,Developmental Biology & Embryology,Stem Cell Research,33,51
255,Developmental Biology & Embryology,Developmental Neurobiology,33,47
256,Developmental Biology & Embryology,Differentiation,33,44
257,Developmental Biology & Embryology,BMC Developmental Biology,30,39
258,Developmental Biology & Embryology,International Journal of Developmental Neuroscience,30,35
259,Developmental Biology & Embryology,Molecular Reproduction and Development,29,41
260,Developmental Biology & Embryology,Current Stem Cell Research & Therapy,29,40
261,Ecology,Ecology Letters,83,124
262,Ecology,Molecular Ecology,71,99
263,Ecology,Ecology,68,91
264,Ecology,Ecological Applications,56,74
265,Ecology,Journal of Applied Ecology,56,70
266,Ecology,Molecular Ecology Resources,55,88
267,Ecology,Functional Ecology,51,68
268,Ecology,Journal of Ecology,51,67
269,Ecology,Journal of Animal Ecology,50,63
270,Ecology,Journal of Biogeography,49,69
271,Ecology,Global Ecology and Biogeography,47,69
272,Ecology,Freshwater Biology,46,71
273,Ecology,Oecologia,46,60
274,Ecology,"Annual Reviews of Ecology, Evolution, and Systematics",45,103
275,Ecology,Diversity and Distributions,45,66
276,Ecology,Oikos,44,54
277,Ecology,Ecography,43,64
278,Ecology,Biological Invasions,41,54
279,Ecology,Landscape Ecology,38,53
280,Ecology,Ecological Monographs,37,62
281,Environmental & Geological Engineering,Waste Management,54,72
282,Environmental & Geological Engineering,International Journal of Greenhouse Gas Control,53,71
283,Environmental & Geological Engineering,Water Science & Technology,31,46
284,Environmental & Geological Engineering,Journal of Geotechnical and Geoenvironmental Engineering,30,36
285,Environmental & Geological Engineering,Engineering Geology,29,40
286,Environmental & Geological Engineering,Geotextiles and Geomembranes,28,37
287,Environmental & Geological Engineering,Computers and Geotechnics,28,34
288,Environmental & Geological Engineering,Waste Management & Research,27,40
289,Environmental & Geological Engineering,Soil Dynamics and Earthquake Engineering,27,37
290,Environmental & Geological Engineering,Journal of Environmental Engineering,24,31
291,Environmental & Geological Engineering,Environmental Technology,23,30
292,Environmental & Geological Engineering,Canadian Geotechnical Journal,23,27
293,Environmental & Geological Engineering,Process Safety and Environmental Protection,22,29
294,Environmental & Geological Engineering,International Journal for Numerical and Analytical Methods in Geomechanics,22,28
295,Environmental & Geological Engineering,"Journal of Environmental Science and Health, Part A",22,28
296,Environmental & Geological Engineering,Bioremediation Journal,21,36
297,Environmental & Geological Engineering,Tunnelling and Underground Space Technology,21,33
298,Environmental & Geological Engineering,Rock Mechanics and Rock Engineering,20,29
299,Environmental & Geological Engineering,Water Environment Research,20,26
300,Environmental & Geological Engineering,Environmental Engineering Science,19,22
301,Environmental Sciences,Environmental Science & Technology,115,151
302,Environmental Sciences,Bioresource Technology,106,148
303,Environmental Sciences,Journal of Hazardous Materials,106,133
304,Environmental Sciences,Global Change Biology,83,113
305,Environmental Sciences,Water Research,82,105
306,Environmental Sciences,Science of The Total Environment,74,107
307,Environmental Sciences,Journal of Environmental Management,71,103
308,Environmental Sciences,Environmental Pollution,69,94
309,Environmental Sciences,Atmospheric Environment,67,90
310,Environmental Sciences,Chemosphere,67,83
311,Environmental Sciences,Environment International,63,82
312,Environmental Sciences,Desalination,60,80
313,Environmental Sciences,Nature Climate Change,54,84
314,Environmental Sciences,Waste Management,54,72
315,Environmental Sciences,Environmental Modelling & Software,51,69
316,Environmental Sciences,Environmental Toxicology and Chemistry,49,66
317,Environmental Sciences,Marine Pollution Bulletin,46,64
318,Environmental Sciences,Ecological Engineering,46,63
319,Environmental Sciences,Aquatic Toxicology,46,55
320,Environmental Sciences,Global Biogeochemical Cycles,44,67
321,Evolutionary Biology,Trends in Ecology & Evolution,86,142
322,Evolutionary Biology,Molecular Biology and Evolution,62,88
323,Evolutionary Biology,Systematic Biology,56,78
324,Evolutionary Biology,Evolution,55,78
325,Evolutionary Biology,BMC Evolutionary Biology,48,66
326,Evolutionary Biology,Molecular Phylogenetics and Evolution,48,64
327,Evolutionary Biology,Journal of Evolutionary Biology,43,62
328,Evolutionary Biology,Heredity,43,58
329,Evolutionary Biology,Genome Biology and Evolution,37,49
330,Evolutionary Biology,Evolutionary Applications,32,41
331,Evolutionary Biology,Biological Journal of the Linnean Society,30,36
332,Evolutionary Biology,Cladistics,28,47
333,Evolutionary Biology,Genetica,28,42
334,Evolutionary Biology,Conservation Genetics,28,34
335,Evolutionary Biology,Journal of Molecular Evolution,26,31
336,Evolutionary Biology,Evolutionary Ecology,24,35
337,Evolutionary Biology,Evolutionary Biology,21,30
338,Evolutionary Biology,Theoretical Population Biology,19,24
339,Evolutionary Biology,Systematic Botany,18,27
340,Evolutionary Biology,Mitochondrial DNA,18,21
341,Food Science & Technology,Food Chemistry,83,112
342,Food Science & Technology,Journal of Agricultural and Food Chemistry,65,84
343,Food Science & Technology,Food Research International,53,68
344,Food Science & Technology,Journal of Food Engineering,53,67
345,Food Science & Technology,International Journal of Food Microbiology,51,60
346,Food Science & Technology,Food Hydrocolloids,50,65
347,Food Science & Technology,Meat Science,48,61
348,Food Science & Technology,Food Control,47,54
349,Food Science & Technology,Critical Reviews in Food Science and Nutrition,46,59
350,Food Science & Technology,Trends in Food Science & Technology,45,63
351,Food Science & Technology,LWT-Food Science and Technology,45,58
352,Food Science & Technology,Food Microbiology,42,54
353,Food Science & Technology,Innovative Food Science & Emerging Technologies,40,50
354,Food Science & Technology,Food and Bioprocess Technology,39,57
355,Food Science & Technology,Journal of Food Science,39,51
356,Food Science & Technology,Journal of Food Protection,36,46
357,Food Science & Technology,Postharvest Biology and Technology,36,46
358,Food Science & Technology,Food Quality and Preference,36,44
359,Food Science & Technology,Comprehensive Reviews in Food Science and Food Safety,35,50
360,Food Science & Technology,Journal of the science of food and agriculture,35,41
361,Forests & Forestry,Forest Ecology and Management,53,72
362,Forests & Forestry,Tree Physiology,37,45
363,Forests & Forestry,Canadian Journal of Forest Research,32,42
364,Forests & Forestry,International Journal of Wildland Fire,30,54
365,Forests & Forestry,Forest Policy and Economics,29,36
366,Forests & Forestry,European Journal of Forest Research,26,31
367,Forests & Forestry,Trees,25,34
368,Forests & Forestry,Annals of Forest Science,24,32
369,Forests & Forestry,Agroforestry Systems,23,28
370,Forests & Forestry,Journal of Forestry,20,33
371,Forests & Forestry,IUFRO Workshop on Connection Between Forest Resources and Wood Quality: Modeling Approaches and Simulation Software,19,29
372,Forests & Forestry,Forest Pathology,19,28
373,Forests & Forestry,International Forestry Review,19,25
374,Forests & Forestry,Forestry,19,24
375,Forests & Forestry,Scandinavian Journal of Forest Research,18,27
376,Forests & Forestry,Forest Science,18,24
377,Forests & Forestry,Journal of Forest Economics,17,24
378,Forests & Forestry,New Forests,17,21
379,Forests & Forestry,Forests,15,22
380,Forests & Forestry,Dendrochronologia,15,17
381,Geochemistry & Mineralogy,Geochimica et Cosmochimica Acta,58,70
382,Geochemistry & Mineralogy,Chemical Geology,52,70
383,Geochemistry & Mineralogy,Lithos,50,71
384,Geochemistry & Mineralogy,Organic Geochemistry,36,43
385,Geochemistry & Mineralogy,International Journal of Coal Geology,36,42
386,Geochemistry & Mineralogy,Journal of Petrology,35,45
387,Geochemistry & Mineralogy,Contributions to Mineralogy and Petrology,34,41
388,Geochemistry & Mineralogy,Applied Geochemistry,32,42
389,Geochemistry & Mineralogy,Economic Geology,29,47
390,Geochemistry & Mineralogy,Ore Geology Reviews,29,42
391,Geochemistry & Mineralogy,American Mineralogist,27,39
392,Geochemistry & Mineralogy,Journal of Geochemical Exploration,27,36
393,Geochemistry & Mineralogy,Reviews in Mineralogy and Geochemistry,24,38
394,Geochemistry & Mineralogy,Acta Petrologica Sinica,23,30
395,Geochemistry & Mineralogy,Mineralium Deposita,20,32
396,Geochemistry & Mineralogy,Chemie der Erde-Geochemistry,17,27
397,Geochemistry & Mineralogy,The Canadian Mineralogist,17,24
398,Geochemistry & Mineralogy,Russian Geology and Geophysics,17,23
399,Geochemistry & Mineralogy,Mineralogical Magazine,16,26
400,Geochemistry & Mineralogy,Aquatic Geochemistry,16,23
401,Geology,Quaternary Science Reviews,59,70
402,Geology,Gondwana Research,55,74
403,Geology,Earth-Science Reviews,54,74
404,Geology,Geology,51,64
405,Geology,Lithos,50,71
406,Geology,Precambrian Research,47,65
407,Geology,Tectonophysics,46,57
408,Geology,Geomorphology,45,59
409,Geology,Geological Society of America Bulletin,41,56
410,Geology,Journal of Asian Earth Sciences,39,60
411,Geology,Quaternary International,39,51
412,Geology,"Palaeogeography, Palaeoclimatology, Palaeoecology",39,50
413,Geology,"Geological Society, London, Special Publications",36,51
414,Geology,Journal of Petrology,35,45
415,Geology,The Holocene,34,49
416,Geology,Marine Geology,34,43
417,Geology,Contributions to Mineralogy and Petrology,34,41
418,Geology,Climate of the Past,33,44
419,Geology,Tectonics,31,40
420,Geology,Quaternary Geochronology,30,42
421,Hydrology,Journal of Hydrology,62,83
422,Hydrology,Water Resources Research,58,71
423,Hydrology,Hydrology and Earth System Sciences,49,67
424,Hydrology,Hydrological Processes,45,55
425,Hydrology,Advances in Water Resources,41,55
426,Hydrology,Journal of Hydrometeorology,37,46
427,Hydrology,Water Resources Management,37,43
428,Hydrology,JAWRA Journal of the American Water Resources Association,30,37
429,Hydrology,Hydrogeology Journal,29,38
430,Hydrology,Groundwater,27,35
431,Hydrology,Vadose Zone Journal,27,34
432,Hydrology,Hydrological Sciences Journal,27,32
433,Hydrology,Ecohydrology,25,36
434,Hydrology,Journal of Hydrologic Engineering,24,35
435,Hydrology,Journal of Water Resources Planning and Management,24,32
436,Hydrology,Journal of Irrigation and Drainage Engineering,19,25
437,Hydrology,Journal of Flood Risk Management,18,24
438,Hydrology,International Journal of Sediment Research,17,24
439,Hydrology,Journal of Hydroinformatics,16,20
440,Hydrology,Hydrology Research,15,23
441,Insects & Arthropods,Annual Reviews of Entomology,48,81
442,Insects & Arthropods,Insect Biochemistry and Molecular Biology,36,44
443,Insects & Arthropods,Biological Control,35,42
444,Insects & Arthropods,Journal of Economic Entomology,33,38
445,Insects & Arthropods,Journal of Insect Physiology,30,37
446,Insects & Arthropods,Journal of Invertebrate Pathology,29,50
447,Insects & Arthropods,Insect Molecular Biology,29,40
448,Insects & Arthropods,BioControl,27,36
449,Insects & Arthropods,Environmental Entomology,27,35
450,Insects & Arthropods,Journal of Medical Entomology,27,35
451,Insects & Arthropods,Apidologie,26,57
452,Insects & Arthropods,Systematic Entomology,24,31
453,Insects & Arthropods,Medical and Veterinary Entomology,24,29
454,Insects & Arthropods,Experimental and Applied Acarology,24,27
455,Insects & Arthropods,Ecological Entomology,23,28
456,Insects & Arthropods,Bulletin of Entomological Research,22,27
457,Insects & Arthropods,Journal of Applied Entomology,21,30
458,Insects & Arthropods,Entomologia Experimentalis et Applicata,21,29
459,Insects & Arthropods,Journal of Apicultural Research,20,28
460,Insects & Arthropods,Journal of Insect Science,20,28
461,Biogeneral,Nature,355,495
462,Biogeneral,Science,311,431
463,Biogeneral,Proceedings of the National Academy of Sciences,217,280
464,Biogeneral,PLoS ONE,148,187
465,Biogeneral,Nature Methods,113,187
466,Biogeneral,PLoS Biology,96,131
467,Biogeneral,Philosophical Transactions of the Royal Society B: Biological Sciences,95,123
468,Biogeneral,Cell Metabolism,90,131
469,Biogeneral,Nature Communications,88,118
470,Biogeneral,Faseb Journal,84,102
471,Biogeneral,Cellular and Molecular Life Sciences,79,109
472,Biogeneral,Proceedings of the Royal Society B: Biological Sciences,79,101
473,Biogeneral,Nature Protocols,77,120
474,Biogeneral,Cell Host & Microbe,76,117
475,Biogeneral,EGU General Assembly Conference Abstracts,66,100
476,Biogeneral,Global Environmental Change,66,96
477,Biogeneral,Energy & Fuels,62,80
478,Biogeneral,Journal of The Royal Society Interface,59,84
479,Biogeneral,Biogeosciences,57,78
480,Biogeneral,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",57,78
481,Marine Sciences Fisheries,Marine Ecology Progress Series,49,63
482,Marine Sciences Fisheries,Freshwater Biology,46,71
483,Marine Sciences Fisheries,Marine Pollution Bulletin,46,64
484,Marine Sciences Fisheries,Aquatic Toxicology,46,55
485,Marine Sciences Fisheries,Deep Sea Research Part II: Topical Studies in Oceanography,44,58
486,Marine Sciences Fisheries,Limnology and Oceanography,43,57
487,Marine Sciences Fisheries,Aquaculture,43,52
488,Marine Sciences Fisheries,Fish & Shellfish Immunology,40,45
489,Marine Sciences Fisheries,Hydrobiologia,39,52
490,Marine Sciences Fisheries,Progress in Oceanography,39,52
491,Marine Sciences Fisheries,Journal of Marine Systems,38,52
492,Marine Sciences Fisheries,"Estuarine, Coastal and Shelf Science",37,51
493,Marine Sciences Fisheries,Coral Reefs,36,55
494,Marine Sciences Fisheries,ICES Journal of Marine Science: Journal du Conseil,36,45
495,Marine Sciences Fisheries,Journal of Experimental Marine Biology and Ecology,36,44
496,Marine Sciences Fisheries,Fish and Fisheries,35,54
497,Marine Sciences Fisheries,Marine Biology,34,45
498,Marine Sciences Fisheries,Journal of Applied Phycology,33,50
499,Marine Sciences Fisheries,Journal of the North American Benthological Society,33,45
500,Marine Sciences Fisheries,Harmful Algae,33,42
501,Microbiology,Nature Reviews Microbiology,105,161
502,Microbiology,Antimicrobial Agents and Chemotherapy,83,107
503,Microbiology,Applied and Environmental Microbiology,75,91
504,Microbiology,The ISME Journal,73,91
505,Microbiology,Journal of Clinical Microbiology,72,101
506,Microbiology,Applied Microbiology and Biotechnology,70,97
507,Microbiology,FEMS Microbiology Reviews,67,95
508,Microbiology,Clinical Microbiology Reviews,66,119
509,Microbiology,Clinical Microbiology and Infection,65,88
510,Microbiology,Environmental Microbiology,65,87
511,Microbiology,Current Opinion in Microbiology,62,89
512,Microbiology,Journal of Bacteriology,61,84
513,Microbiology,Molecular Microbiology,60,79
514,Microbiology,Trends in Microbiology,57,88
515,Microbiology,Veterinary Microbiology,54,73
516,Microbiology,Annual Review of Microbiology,53,76
517,Microbiology,Microbiology and Molecular Biology Reviews,52,95
518,Microbiology,International Journal of Food Microbiology,51,60
519,Microbiology,Cellular Microbiology,50,65
520,Microbiology,BMC Microbiology,47,64
521,Molecular Biology,Cell,223,343
522,Molecular Biology,Nucleic Acids Research,164,281
523,Molecular Biology,Nature Reviews Molecular Cell Biology,131,267
524,Molecular Biology,Molecular Cell,121,172
525,Molecular Biology,Nature Cell Biology,115,173
526,Molecular Biology,Genes & Development,114,162
527,Molecular Biology,PLoS Genetics,108,144
528,Molecular Biology,The EMBO Journal,99,125
529,Molecular Biology,Nature Structural & Molecular Biology,93,137
530,Molecular Biology,Oncogene,92,120
531,Molecular Biology,Developmental Cell,89,131
